#,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,Skill Moves,Position,Height,Weight,Release Clause
1,K. De Bruyne,31,Belgium,91,91,Manchester City,107500000,350000,Right,4,RCM,181,70,198900000
2,R. Lewandowski,33,Poland,91,91,FC Barcelona,84000000,420000,Right,4,ST,185,81,172200000
3,L. Messi,35,Argentina,91,91,Paris Saint-Germain,54000000,195000,Left,4,RW,169,67,99900000
4,K. Mbappé,23,France,91,95,Paris Saint-Germain,190500000,230000,Right,5,ST,182,73,366700000
5,K. Benzema,34,France,91,91,Real Madrid CF,64000000,450000,Right,4,CF,185,81,131200000
6,M. Salah,30,Egypt,90,90,Liverpool,115500000,270000,Left,4,RW,175,71,213700000
7,Cristiano Ronaldo,37,Portugal,90,90,Manchester United,41000000,220000,Right,5,ST,187,83,77900000
8,V. van Dijk,30,Netherlands,90,90,Liverpool,98000000,230000,Right,2,LCB,193,92,181300000
9,M. Neuer,36,Germany,90,90,FC Bayern München,13500000,72000,Right,1,GK,193,93,22300000
10,T. Courtois,30,Belgium,90,91,Real Madrid CF,90000000,250000,Left,1,GK,199,96,191300000
11,J. Kimmich,27,Germany,89,90,FC Bayern München,105500000,130000,Right,3,RDM,177,75,182000000
12,Casemiro,30,Brazil,89,89,Real Madrid CF,86000000,300000,Right,2,CDM,185,84,176300000
13,H. Kane,28,England,89,89,Tottenham Hotspur,105500000,240000,Right,3,ST,188,89,200500000
14,S. Mané,30,Senegal,89,89,FC Bayern München,99500000,145000,Right,4,ST,174,69,164200000
15,Neymar Jr,30,Brazil,89,89,Paris Saint-Germain,99500000,200000,Right,5,LW,175,68,184100000
16,N. Kanté,31,France,89,89,Chelsea,72000000,220000,Right,2,RCM,168,70,133200000
17,H. Son,29,Korea Republic,89,89,Tottenham Hotspur,101000000,240000,Right,4,LW,183,78,191900000
18,Ederson,28,Brazil,89,91,Manchester City,88000000,210000,Left,1,GK,188,86,169400000
19,Alisson,29,Brazil,89,90,Liverpool,79000000,190000,Right,1,GK,191,91,152100000
20,J. Oblak,29,Slovenia,89,91,Atlético de Madrid,85500000,100000,Right,1,GK,188,87,181700000
21,João Cancelo,28,Portugal,88,88,Manchester City,82500000,250000,Right,4,LB,182,74,152600000
22,L. Modrić,36,Croatia,88,88,Real Madrid CF,29000000,230000,Right,4,RCM,172,66,59500000
23,Bernardo Silva,27,Portugal,88,88,Manchester City,97500000,260000,Left,4,LCM,173,64,180400000
24,T. Kroos,32,Germany,88,88,Real Madrid CF,72000000,310000,Right,3,LCM,183,76,147600000
25,E. Haaland,21,Norway,88,94,Manchester City,148000000,220000,Left,3,ST,195,94,303400000
26,Marquinhos,28,Brazil,88,90,Paris Saint-Germain,92000000,170000,Right,3,CB,183,75,177100000
27,Rúben Dias,25,Portugal,88,91,Manchester City,107500000,230000,Right,2,RCB,187,82,206900000
28,M. ter Stegen,30,Germany,88,89,FC Barcelona,68500000,210000,Right,1,GK,187,85,145600000
29,K. Navas,35,Costa Rica,88,88,Paris Saint-Germain,10000000,85000,Right,1,SUB,185,80,18500000
30,G. Donnarumma,23,Italy,88,92,Paris Saint-Germain,103500000,110000,Right,1,GK,196,90,199200000
31,L. Goretzka,27,Germany,87,88,FC Bayern München,91000000,115000,Right,3,SUB,189,82,157000000
32,F. de Jong,25,Netherlands,87,92,FC Barcelona,116500000,230000,Right,4,RCM,180,74,247600000
33,T. Alexander-Arnold,23,England,87,90,Liverpool,100500000,150000,Right,3,RB,180,69,193500000
34,M. Verratti,29,Italy,87,87,Paris Saint-Germain,77500000,155000,Right,4,RCM,165,60,143400000
